prefix,number in volume,Note
W4CZ302704-I4CZ307464/M0053913_BLO_BZANG_CHOS_KYI_RGYAL_MTSAN_GYI_MDUN_BSKYED------/MDUN_BSKYED,2,
,,
W8LS31889-I8LS31931/MDZOD_CA,5,
W8LS31889-I8LS31931/MDZOD_CHA,6,
W8LS31889-I8LS31931/MDZOD_GA,3,
W8LS31889-I8LS31931/MDZOD_JA,7,
W8LS31889-I8LS31931/MDZOD_KA,1,
W8LS31889-I8LS31931/MDZOD_KHA,2,
W8LS31889-I8LS31931/MDZOD_NGA,4,
W8LS31889-I8LS31931/MDZOD_NYA,8,
,,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/'DOD_GSOL_YOD,28,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/'GUGS_LCAGS_KYU,22,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/'KHRI_SHING,37,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/'O_MTSO,14,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/'PHRIN_BCOL,39,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BANG_MDZOD,17,38
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BCU_CHA,27,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BDAG_'JUG,23,25
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BDE_'JUG,2,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BDE_BUM,3,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BLA_BRGYUD,4,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BSANG_MCHOD,16,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BSDUS_DON,1,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BSE_BYON,18,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BSNYEN_PA_BYED_TSUL,5,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BSNYEN_YIG,19,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BSNYEN_YIG_BCU_CHA,34,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/BUM,24,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/DBUGS_'BYIN,13,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/DGAG_LAN,15,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/DMIGS_RIM,33,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/DNGOS_GRUB_KUN_'BYUNG,26,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/GDON_GROL,10,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/GO_RIM,20,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/GTOR_BZLOG,36,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/GZHI_BSNYEN,21,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/KUN_'BYUNG,30,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/LAS_BYANG,8,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/ME_LHA,29,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/MYUR_'BYON,12,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/SA_BDAG,11,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/SBU_GRI,35,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/SGROL_DBANG,32,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/SGRUB_THABS,6,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/SNYING_BCUD,7,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/STONG_MCHOD,40,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/TSOGS_BZLOG,9,
W8LS31892-I8LS31937/M0052064_'JIGS_MED_BSAM_GTAN_SOGS_(001-050)-W8LS31892/YANG_SNYING,31,
,,
W8LS31898-I8LS31949/M0052669_CHOS_MING_PA-W8LS31898/BSDUS_RGYUD,2,
W8LS31898-I8LS31949/M0052669_CHOS_MING_PA-W8LS31898/BSHES_GNYEN_BSTEN_TSUL,1,
,,
W8LS31903-I8LS31959/M0052680_GSUNG_'BUM_THOR_BU-W8LS31903/BLO_SBYON_SNYING_PO,8,
W8LS31903-I8LS31959/M0052680_GSUNG_'BUM_THOR_BU-W8LS31903/DBU_MA,5,
W8LS31903-I8LS31959/M0052680_GSUNG_'BUM_THOR_BU-W8LS31903/DBU_MA'I_RTZA_BA,10,
W8LS31903-I8LS31959/M0052680_GSUNG_'BUM_THOR_BU-W8LS31903/DRANG_NGES,1,There are 3 texts
W8LS31903-I8LS31959/M0052680_GSUNG_'BUM_THOR_BU-W8LS31903/LTA_BA'I_MUN_SEL,6,
W8LS31903-I8LS31959/M0052680_GSUNG_'BUM_THOR_BU-W8LS31903/MCHAN_'GREL,7,
W8LS31903-I8LS31959/M0052680_GSUNG_'BUM_THOR_BU-W8LS31903/NYI_SHU_PA'I_TSIG_LE'UR,11,
W8LS31903-I8LS31959/M0052680_GSUNG_'BUM_THOR_BU-W8LS31903/RGYA_MTSO'I_BRLABS,9,
W8LS31903-I8LS31959/M0052680_GSUNG_'BUM_THOR_BU-W8LS31903/SNYAN_GRAGS,4,
W8LS31903-I8LS31959/M0052680_GSUNG_'BUM_THOR_BU-W8LS31903/THUGS_GNYER,12,
,,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/'PHRIN_BCOL,10,"Here listed 14, but in actuality there are 20 with many same name"
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/'PHYIR_BCOS,1,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/BSLAB_BYA,3,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/BSLAB_BYA'I_SDOM_TSIG,13,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/BSLAB_PA_KYI_SBYON_PA,8,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/DGE_BSNYEN_KYI_BSTON_PA,7,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/DGE_SLONG_GI_BSLAB_BYA,11,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/DGE_SLONG_GI_PHYIR_BCOS,14,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/LHAS_MDZAD,6,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/LHO_BRAG_BKA'_'BUM,9,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/LHO_BRAG_GSOS_TSUL,4,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/PHYIR_BCOS,2,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/PHYIR_BZLOG,5,
W8LS32390-I8LS32392/M0053706_BSLAB_BYA_PHYIR_BCOS_SOGS-W8LS32390/RDO_RJE_THEG_PA'I_RTZA,12,
,,
W8LS32393-I8LS32395/M0053717_BCOS_PA'I_CHOS_BRGYAD_SH'AKYA_THUB_PA-W8LS32393/CA_PA,6,
W8LS32393-I8LS32395/M0053717_BCOS_PA'I_CHOS_BRGYAD_SH'AKYA_THUB_PA-W8LS32393/CHA_PA,7,
W8LS32393-I8LS32395/M0053717_BCOS_PA'I_CHOS_BRGYAD_SH'AKYA_THUB_PA-W8LS32393/GA1_PA,3,
W8LS32393-I8LS32395/M0053717_BCOS_PA'I_CHOS_BRGYAD_SH'AKYA_THUB_PA-W8LS32393/GA2_PA,4,
W8LS32393-I8LS32395/M0053717_BCOS_PA'I_CHOS_BRGYAD_SH'AKYA_THUB_PA-W8LS32393/JA_PA,8,
W8LS32393-I8LS32395/M0053717_BCOS_PA'I_CHOS_BRGYAD_SH'AKYA_THUB_PA-W8LS32393/KA_PA,1,
W8LS32393-I8LS32395/M0053717_BCOS_PA'I_CHOS_BRGYAD_SH'AKYA_THUB_PA-W8LS32393/KHA_PA,2,
W8LS32393-I8LS32395/M0053717_BCOS_PA'I_CHOS_BRGYAD_SH'AKYA_THUB_PA-W8LS32393/NGA_PA,5,
W8LS32393-I8LS32395/M0053717_BCOS_PA'I_CHOS_BRGYAD_SH'AKYA_THUB_PA-W8LS32393/NYA_PA,9,
,,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/'JIGS_BYED_KYI_BLA_BRGYUD,2,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/'JIGS_BYED_LHA_BCU_GSUM,3,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/BGEG_DPUNG_KUN_'JOMS,14,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/BKANG_BSHAGS,9,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/BLA_MA_MCHOD_PA'I_CHO_GA,1,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/BSANGS_MCHOD,12,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/CHOS_RGYAL,7,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/DMAG_ZOR_RGYAL_MO,16,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/HANG_KA'I_RGYAL_PO,13,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/KYEE,11,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/LHA_MO,8,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/LHUN_GRUB,4,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/MGON_DKAR,6,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/MGON_PO,5,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/NANG_MCHOD,15,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/RNAM_SRAS,10,
W8LS32549-I8LS32588/M0053820_BSKANG_BSKUL_YONGS_RDZOGS-W8LS32549/SGRIB_SPYONG,17,
,,
W8LS32566-I8LS32656/M0054174_'DUL_BA_NOR_BU'I_PHRENG_BA-W8LS32566/'DUL_BA'I_RGYA_MTSO,1,
W8LS32566-I8LS32656/M0054174_'DUL_BA_NOR_BU'I_PHRENG_BA-W8LS32566/'DUL_BA'I_SDOM_TSIG,2,
,,
W8LS32567-I8LS32658/M0054175_SPYIR_BSTAN-W8LS32567/DBU_PHYOGS,1,
W8LS32567-I8LS32658/M0054175_SPYIR_BSTAN-W8LS32567/MDZES_RGYAN,3,
W8LS32567-I8LS32658/M0054175_SPYIR_BSTAN-W8LS32567/SGRON_ME,2,
,,
W8LS32576-I8LS32674/M0054617_SDOM_GSUM_STONG_THUN-W8LS32576/SDOM_GSUM,1,
W8LS32576-I8LS32674/M0054617_SDOM_GSUM_STONG_THUN-W8LS32576/STONG_THUN,2,
,,
W8LS32585-I8LS32760/M0054921_YE_SHES_RGYAL_MTSAN_GYI_GNAS_BRTAN_BCU_DRUG-W8LS32585/GNAS_BCU'I_GSO_SBYONG,2,
W8LS32585-I8LS32760/M0054921_YE_SHES_RGYAL_MTSAN_GYI_GNAS_BRTAN_BCU_DRUG-W8LS32585/GNAS_BRTAN_PHYAG_MCHOD,1,
W8LS32585-I8LS32760/M0054921_YE_SHES_RGYAL_MTSAN_GYI_GNAS_BRTAN_BCU_DRUG-W8LS32585/GNAS_CHA_LAG,3,
,,
W8LS32586-I8LS32762/M0054923_SGRA_tIKA-W8LS32586/SGRA_tIKA,2,
W8LS32586-I8LS32762/M0054923_SGRA_tIKA-W8LS32586/SGRA_tIKA_ZHE_LNGA,1,
,,
W8LS32599-I8LS32764/M0054924_BDE_LAM-W8LS32599/BDE_LAM,2,
W8LS32599-I8LS32764/M0054924_BDE_LAM-W8LS32599/LAM_KHRID,1,
,,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/'JIGS_BYED_GYI_RNAL_'BYOR,21,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/'JIGS_BYED_GYI_TSOGS_MCHOD,22,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/DKAR_CHAG,1,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BCO_BRGYAD,19,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BCO_LNGA,16,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BCU,11,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BCU_BDUN,18,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BCU_BZHI,15,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BCU_DRUG,17,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BCU_GCIG,12,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BCU_GNYIS,13,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BCU_GSUM,14,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BDUN,8,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BRGYAD,9,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_BZHI,5,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_DANG,2,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_DGU,10,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_DRUG,7,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_GNYIS,3,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_GSUM,4,
W8LS32600-I8LS32766/M0054927_BLO_BZANG_LUNG_RTOGS_BSTAN_'DZIN_'PHRIN_LAS_THEM_SKAS-W8LS32600/THEM_SKAS_LNGA,6,
,,
W8LS32608-I8LS32803/M0055240_RTAGS_RIGS_BLO_RIGS-W8LS32608/'OD_ZHAGS,2,
W8LS32608-I8LS32803/M0055240_RTAGS_RIGS_BLO_RIGS-W8LS32608/BLO_RIGS,3,
W8LS32608-I8LS32803/M0055240_RTAGS_RIGS_BLO_RIGS-W8LS32608/BLO_RIGS_MCHAN_'GREL,4,
W8LS32608-I8LS32803/M0055240_RTAGS_RIGS_BLO_RIGS-W8LS32608/RTAGS_RIGS,1,
,,
W8LS32613-I8LS32813/M0055321_GSER_SDOM-W8LS32613/GSER_SDOM,1,
W8LS32613-I8LS32813/M0055321_GSER_SDOM-W8LS32613/SGRA_DBYANGS,2,
,,
W8LS32618-I8LS32823/M0055516_BLO_GROS_RGYAL_MTSAN_GYI_GROS_'DEBS_BCU_GNYIS_MA-W8LS32618/GROS_'DEBS_BCU_GNYIS_MA,1,
W8LS32618-I8LS32823/M0055516_BLO_GROS_RGYAL_MTSAN_GYI_GROS_'DEBS_BCU_GNYIS_MA-W8LS32618/NYON_MONGS_GDUNG_SEL,2,
W8LS32618-I8LS32823/M0055516_BLO_GROS_RGYAL_MTSAN_GYI_GROS_'DEBS_BCU_GNYIS_MA-W8LS32618/ZHEN_'KHRIS_KUN_GCOD,3,
,,
W8LS32640-I8LS32827/PHA_CHOS-W8LS32640/AA_TI_SHA'I_RNAM_THAR,1,
W8LS32640-I8LS32827/PHA_CHOS-W8LS32640/AA_TI_SHA'I_RNAM_THAR_RGYAS_PA,2,
W8LS32640-I8LS32827/PHA_CHOS-W8LS32640/PHRENG_BA_RTZA_'GREL_SOGS,4,
W8LS32640-I8LS32827/PHA_CHOS-W8LS32640/ZHUS_LAN_NOR_BU'I_PHRENG_BA,3,
,,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/'JAM_DBYANGS_BSGOM_BZLAS,8,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/'OD_DPAG_MED_BSGOM_BZLAS,6,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/'OD_DPAG_MED_KYI_BSGOM,3,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/BDE_BA_CAN_DU_SKYE_BYED,2,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/BDE_BA_CAN_DU_SKYE_THABS,1,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/DKYIL_'KHOR_BSGOM_BZLAS,7,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/GCOD_KYI_BSTEB_PA_CHA_DRUG,13,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/GDUGS_DKAR_MA'I_BSGOM_BZLAS,10,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/LHA_MO_NOR_RGYUN_MA'I,12,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/MTHA'_YAS_KYI_BSGOM_BZLAS,4,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/RGYAL_MA'I_BSGOM_BZLAS,9,
W8LS32642-I8LS32831/R'A_GA_AA_SYA-W8LS32642/YI_DVAGS_SKYE_SGO,11,
,,
W8LS32643-I8LS32833/RANG_BYUNG_RDO_RJE'I_MDZAD-W8LS32643/GDON_TSOGS_DGU_MA_SOGS,2,
W8LS32643-I8LS32833/RANG_BYUNG_RDO_RJE'I_MDZAD-W8LS32643/GSOL_'DEBS,1,
W8LS32643-I8LS32833/RANG_BYUNG_RDO_RJE'I_MDZAD-W8LS32643/TSOGS_LAS_RIN_CHEN_PHRENG_BA,3,
,,
W8LS32644-I8LS32835/RATNA_GLING_PA-W8LS32644/GSANG_'DUS_BRGYUD_'DEBS,2,
W8LS32644-I8LS32835/RATNA_GLING_PA-W8LS32644/GSANG_'DUS_LAS_BYANG,3,
W8LS32644-I8LS32835/RATNA_GLING_PA-W8LS32644/GSANG_'DUS_MCHOD_'BUM,1,
